           1:1       1:2       1:3       1:4       1:5       1:6       1:7       2:0       2:1       2:2       2:3       2:4       2:5       2:6       2:7       2:8       2:9      2:10
1:1   1.000000  0.760428  0.813691  0.875638  0.691979  0.825691  0.439340  1.000000  0.728393  0.316781  0.533948  0.532744  0.440943  0.313745  0.289515  0.611789  0.452079  0.436443
1:2   0.760428  1.000000  0.730369  0.825691  0.965775  0.625902  0.365540  0.760428  0.171216  0.396725  0.680099  0.498750  0.573808  0.364838  0.344196  0.484056  0.362050  0.489202
1:3   0.813691  0.730369  1.000000  0.955699  0.563725  0.590899  0.180139  0.813691  0.441564  0.130159  0.522601  0.567033  0.296174  0.133784  0.099248  0.299637  0.324705  0.333444
1:4   0.875638  0.825691  0.955699  1.000000  0.725797  0.781321  0.269820  0.875638  0.529390  0.249384  0.529594  0.580594  0.393863  0.234959  0.175989  0.396517  0.422136  0.421765
1:5   0.691979  0.965775  0.563725  0.725797  1.000000  0.675849  0.402440  0.691979  0.171216  0.460681  0.613667  0.430763  0.600381  0.415931  0.383253  0.509602  0.384558  0.504276
1:6   0.825691  0.625902  0.590899  0.781321  0.675849  1.000000  0.395474  0.825691  0.800438  0.366055  0.296912  0.431764  0.393863  0.334379  0.244390  0.520793  0.520677  0.432764
1:7   0.439340  0.365540  0.180139  0.269820  0.402440  0.395474  1.000000  0.439340  0.311839  0.717206  0.755348  0.432748  0.721923  0.698825  0.673949  0.680462  0.675107  0.586190
2:0   1.000000  0.760428  0.813691  0.875638  0.691979  0.825691  0.439340  1.000000  0.728393  0.316781  0.533948  0.532744  0.440943  0.313745  0.289515  0.611789  0.452079  0.436443
2:1   0.728393  0.171216  0.441564  0.529390  0.171216  0.800438  0.311839  0.728393  1.000000  0.154553  0.051823  0.298326  0.123924  0.161017  0.102003  0.438284  0.404110  0.220483
2:2   0.316781  0.396725  0.130159  0.249384  0.460681  0.366055  0.717206  0.316781  0.154553  1.000000  0.633901  0.437224  0.962878  0.423934  0.661903  0.602956  0.627113  0.711050
2:3   0.533948  0.680099  0.522601  0.529594  0.613667  0.296912  0.755348  0.533948  0.051823  0.633901  1.000000  0.616536  0.788524  0.536993  0.484069  0.553522  0.529581  0.646825
2:4   0.532744  0.498750  0.567033  0.580594  0.430763  0.431764  0.432748  0.532744  0.298326  0.437224  0.616536  1.000000  0.530757  0.594048  0.625796  0.619422  0.709695  0.837634
2:5   0.440943  0.573808  0.296174  0.393863  0.600381  0.393863  0.721923  0.440943  0.123924  0.962878  0.788524  0.530757  1.000000  0.447735  0.644793  0.652698  0.608219  0.763864
2:6   0.313745  0.364838  0.133784  0.234959  0.415931  0.334379  0.698825  0.313745  0.161017  0.423934  0.536993  0.594048  0.447735  1.000000  0.767364  0.728796  0.704870  0.590317
2:7   0.289515  0.344196  0.099248  0.175989  0.383253  0.244390  0.673949  0.289515  0.102003  0.661903  0.484069  0.625796  0.644793  0.767364  1.000000  0.815954  0.744643  0.720261
2:8   0.611789  0.484056  0.299637  0.396517  0.509602  0.520793  0.680462  0.611789  0.438284  0.602956  0.553522  0.619422  0.652698  0.728796  0.815954  1.000000  0.735671  0.685958
2:9   0.452079  0.362050  0.324705  0.422136  0.384558  0.520677  0.675107  0.452079  0.404110  0.627113  0.529581  0.709695  0.608219  0.704870  0.744643  0.735671  1.000000  0.577795
2:10  0.436443  0.489202  0.333444  0.421765  0.504276  0.432764  0.586190  0.436443  0.220483  0.711050  0.646825  0.837634  0.763864  0.590317  0.720261  0.685958  0.577795  1.000000
