 1:1 1:2 1:3 1:4 1:5 1:6 1:7 2:0 2:1 2:2 2:3 2:4 2:5 2:6 2:7 2:8 2:9 2:10 2:11 2:12 2:13 2:14 2:15 2:16
1:1 1.0 0.760427807486631 0.813691037226027 0.875638393865261 0.6919786096256685 0.8256911058016454 0.4393403954940433 1.0 0.7283934898716588 0.31678070526613195 0.533948374322067 0.5327435929541274 0.44094336977452186 0.31374469300944113 0.2895148555914729 0.6117888458258738 0.45207939443048495 0.43644282902918813 0.6713976763891603 0.31678070526613195 0.4258879771891961 0.4500603835318276 0.5086478832191204 0.20304257910619472
1:2 0.760427807486631 1.0 0.7303690750140819 0.8256911058016454 0.9657754010695188 0.625901953547183 0.365540434046225 0.760427807486631 0.1712159996112664 0.3967253627465438 0.6800990957539236 0.4987499838324284 0.5738076619853006 0.364837976349401 0.3441955703068944 0.4840556374759741 0.3620503590557637 0.48920224279202573 0.5777266569325672 0.47667002022695565 0.3819332244816209 0.30907761278691775 0.620570403691697 0.13491820131958154
1:3 0.813691037226027 0.7303690750140819 1.0 0.9556988101557221 0.5637251505901915 0.5908992643308739 0.1801385910399862 0.813691037226027 0.44156381095936453 0.13015904775797088 0.5226006728715432 0.5670325913015914 0.2961740757279733 0.13378387187653873 0.09924845544113824 0.2996370011762671 0.3247052738688658 0.3334439050405768 0.4447584893135295 0.24693725883054288 0.33840257158086934 0.4092375809895317 0.4804936809756869 0.13378387187653873
1:4 0.875638393865261 0.8256911058016454 0.9556988101557221 1.0 0.7257965296744142 0.7813211845102506 0.2698196210092245 0.875638393865261 0.529390193868801 0.24938430337703793 0.5295942704628704 0.5805941630328914 0.3938630157904643 0.23495868523844293 0.17598945985978592 0.3965170539313227 0.42213570148427626 0.4217645278210409 0.5580754226242025 0.34272111867604627 0.4270928207723623 0.4352401270241086 0.4827263416245588 0.14796571748073845
1:5 0.6919786096256685 0.9657754010695188 0.5637251505901915 0.7257965296744142 1.0 0.6758492416107986 0.40244041477013415 0.6919786096256685 0.1712159996112664 0.46068108873087327 0.6136669496485342 0.43076276558903026 0.6003805204274564 0.4159312596893609 0.38325322367505266 0.509602279145954 0.38455761789944404 0.5042763610099794 0.5947577513792205 0.5086478832191204 0.3965848087174793 0.2711207129709805 0.5566146777073675 0.12640265409625492
1:6 0.8256911058016454 0.625901953547183 0.5908992643308739 0.7813211845102506 0.6758492416107986 1.0 0.3954736648887802 0.8256911058016454 0.8004379731296272 0.36605532250079836 0.2969121195958885 0.43176361656785117 0.3938630157904643 0.33437921981867663 0.2443902215866663 0.5207927221566149 0.5206768014052259 0.4327640917087942 0.645068390381907 0.34272111867604627 0.4841127749406673 0.4114997564591572 0.27271850720179003 0.16039328430326766
1:7 0.4393403954940433 0.365540434046225 0.1801385910399862 0.2698196210092245 0.40244041477013415 0.3954736648887802 1.0 0.4393403954940433 0.3118387202853922 0.7172062097571538 0.7553477813912679 0.4327482692322167 0.7219226721396591 0.6988246373856041 0.6739489237089104 0.6804621999450627 0.6751066429708813 0.5861897737215063 0.6008916377027167 0.7286987479205133 0.4747028647861368 0.5378588175469216 0.6827285952670753 0.5917104189824459
2:0 1.0 0.760427807486631 0.813691037226027 0.875638393865261 0.6919786096256685 0.8256911058016454 0.4393403954940433 1.0 0.7283934898716588 0.31678070526613195 0.533948374322067 0.5327435929541274 0.44094336977452186 0.31374469300944113 0.2895148555914729 0.6117888458258738 0.45207939443048495 0.43644282902918813 0.6713976763891603 0.31678070526613195 0.4258879771891961 0.4500603835318276 0.5086478832191204 0.20304257910619472
2:1 0.7283934898716588 0.1712159996112664 0.44156381095936453 0.529390193868801 0.1712159996112664 0.8004379731296272 0.3118387202853922 0.7283934898716588 1.0 0.15455329191689074 0.05182270481340284 0.2983263350086519 0.1239238593363981 0.16101687415841284 0.10200250324681116 0.4382835991666215 0.40411036631588604 0.2204829357458394 0.484494720001323 0.06778653154249593 0.339778491280428 0.38253395135062923 0.06778653154249593 0.16101687415841284
2:2 0.31678070526613195 0.3967253627465438 0.13015904775797088 0.24938430337703793 0.46068108873087327 0.36605532250079836 0.7172062097571538 0.31678070526613195 0.15455329191689074 1.0 0.6339009785774623 0.437224289597843 0.9628777410215799 0.4239337928889787 0.6619034462109015 0.6029556878332981 0.6271130896908849 0.711049721954135 0.4796294935383225 0.9253034547152195 0.33532768164917964 0.4002495523617037 0.7908496732026143 0.5074773438629945
2:3 0.533948374322067 0.6800990957539236 0.5226006728715432 0.5295942704628704 0.6136669496485342 0.2969121195958885 0.7553477813912679 0.533948374322067 0.05182270481340284 0.6339009785774623 1.0 0.6165359447586092 0.7885235332043843 0.5369931791999822 0.4840686572305267 0.5535224036463072 0.5295809105993509 0.6468251668933284 0.5667457832033672 0.6463151960281838 0.36503497124602147 0.43574553922974735 0.7952858054368408 0.4708762814146824
2:4 0.5327435929541274 0.4987499838324284 0.5670325913015914 0.5805941630328914 0.43076276558903026 0.43176361656785117 0.4327482692322167 0.5327435929541274 0.2983263350086519 0.437224289597843 0.6165359447586092 1.0 0.5307570307052375 0.5940475275347229 0.6257964246394706 0.6194217489555609 0.70969510354448 0.837634448578749 0.7484073745114873 0.3975217434368584 0.4605701301030731 0.5628178889963911 0.47295658114272915 0.6786282656041829
2:5 0.44094336977452186 0.5738076619853006 0.2961740757279733 0.3938630157904643 0.6003805204274564 0.3938630157904643 0.7219226721396591 0.44094336977452186 0.1239238593363981 0.9628777410215799 0.7885235332043843 0.5307570307052375 1.0 0.4477353671898275 0.6447930978458308 0.652697750324257 0.6082193752823172 0.7638644959325509 0.5402990240892472 0.9008066537679728 0.3498671490355067 0.42101018283067376 0.8697711101411693 0.5039347303073324
