 25:0 25:1 25:2 25:3 25:4 25:5 25:6 25:7 25:8 25:9 25:10 25:11 25:12 25:13 25:14 25:15 25:16 25:17 25:18 25:19 25:20 25:21 25:22 25:23 25:24 25:25 25:26 25:27 25:28 25:29 25:30 25:31 25:32 25:33 25:34 25:35 25:36 25:37 25:38 25:39 25:40 25:41 25:42 25:43 25:44 25:45 25:46 25:47 25:48 25:49 25:50 25:51 25:52 25:53 25:54 25:55 25:56 25:57 25:58 25:59 25:60 25:61 25:62 25:63 25:64 25:65 25:66 25:67 25:68 25:69 25:70 25:71 25:72 25:73 25:74 25:75 25:76 25:77
25:0 1.0 0.27608134617168445 0.15043693079647752 0.23212511245453088 0.4648529700504469 0.4790460626935609 0.5042763610099794 0.4497562565440725 0.4004053893282316 0.512873515447207 0.17337411430220845 0.5701744861196255 0.38883952201717137 0.6143558737081453 0.47556929301411094 0.33605837651061776 0.5712892434241398 0.6812391969751476 0.2414861652700434 0.26789864856505796 0.4071259346236472 0.4475351724180408 0.6296802653764607 0.5241493330317557 0.3327696367622143 0.7165039926681912 0.512873515447207 0.5351489208159339 0.8572598739903392 0.4329623541360142 0.5805284209544992 0.5010867319226273 0.46624006446926547 0.7199583834171572 0.5010867319226273 0.5241493330317557 0.4677702451090122 0.645909883070987 0.6668126665328458 0.6868377244559746 0.3138858349867023 0.6969443180591403 0.3265202919963896 0.38883952201717137 0.25409020475066707 0.19311212693570665 0.6548383688658954 0.509602279145954 0.3630019857767368 0.4545071995194979 0.7609415023072783 0.6045814721956146 0.6685371981799441 0.400126259167863 0.48920224279202573 0.4479508288719139 0.6548383688658954 0.5297589365688082 0.4168892043089749 0.3006411893512731 0.44383281357509397 0.27968250411613454 0.42085901896777655 0.5796469520997474 0.7562531434754957 0.6288199402725271 0.6919786096256685 0.3392913346794211 0.38266926758187053 0.7199583834171572 0.3000655874296301 0.5918042385390478 0.5892406770590533 0.3669206665910166 0.6593816877040465 0.43394279235536615 0.6294846752134953 0.45905400635611854
25:1 0.27608134617168445 1.0 0.6912222938821374 0.4060792004210341 0.5822505160460788 0.8476853867363228 0.5104914772980791 0.6054617841710692 0.5383864014776066 0.7213757074444929 0.5232215806758879 0.49838053755965794 0.8885502829777971 0.7882455376578146 0.6410255813820542 0.5392941265841772 0.6914842326639117 0.5341700320728842 0.5189165486168804 0.44437965895253784 0.43077096806603576 0.4771779272044029 0.5888825511934759 0.8662603395733566 0.7541182121426948 0.5434062908279929 0.639645914961544 0.714852323115739 0.49907447916264314 0.7092411685588729 0.9034102452474242 0.5409065318528916 0.6150069265207321 0.6318528317837366 0.6194626956490162 0.8476853867363228 0.8253954433318822 0.6058715079081843 0.6756270050183751 0.6558236103903768 0.38163884153723227 0.5829901910293869 0.46590910175366135 0.7771005659555943 0.6681824335813763 0.56898693426037 0.37360822941105487 0.7653527141275334 0.6458179367025886 0.7043094428477162 0.7102307357422726 0.7119758278797543 0.5223350986965227 0.6948750092122273 0.6445842450674916 0.750123599708338 0.4738461753281519 0.5378486766682526 0.6813258734087257 0.568311024432393 0.6036522618640507 0.6643519321039445 0.6115446516265458 0.6520338432769034 0.40702087805008724 0.5381009545744585 0.4113911571862688 0.7401025186216361 0.5102547413316304 0.5355496506675317 0.6318211745745301 0.7845305470904078 0.8404170152212513 0.7395787708531786 0.5637058330696465 0.7176607168770861 0.381961391570813 0.6272018492455307
25:2 0.15043693079647752 0.6912222938821374 1.0 0.7623854143367176 0.7127907924786276 0.5994212294071608 0.6292290375231087 0.750608807333247 0.8069251670196662 0.5980089053383151 0.8160093120036858 0.45300765960023043 0.638966303334843 0.5062078408633385 0.5393833345909534 0.6694272306092734 0.6100968527681575 0.5861004427156528 0.7458622050189087 0.780562761915435 0.7063735188288732 0.6681538347715218 0.6466649530807995 0.5655254517548618 0.5668760369573145 0.41467438958701325 0.6078951738202356 0.6913858225479322 0.3437126290332661 0.6999185695262995 0.5528145351352496 0.6252570334655865 0.6287459356394747 0.5224416505159512 0.6988519761540035 0.5612884795483244 0.6107198219579272 0.6719582959344341 0.5058000689745312 0.4532830805269543 0.7367422018865531 0.5655278046170162 0.8129600858908128 0.6615634884363758 0.8341541136225041 0.8716264548680289 0.3116566347630855 0.630590000327066 0.7276417330879673 0.6344755863099188 0.4581888225225815 0.45272480142958854 0.40265847005777894 0.6887825896667863 0.6481097437922628 0.778524029351093 0.2576712154632548 0.6371631527351469 0.7487339441309723 0.7984476290200437 0.676176738143035 0.7457820845350231 0.7167903475135798 0.5678667421483575 0.3307103121630258 0.6743203285911978 0.20616423552607202 0.7095179098769625 0.6316517793832178 0.42592047757571566 0.7902981264519918 0.5528145351352496 0.5898147701509036 0.7356473305082285 0.6137437934557403 0.6827483494690627 0.2862517315631652 0.6858711563305712
25:3 0.23212511245453088 0.4060792004210341 0.7623854143367176 1.0 0.6572537493075078 0.46864961548160966 0.5791708432208693 0.5541048381280496 0.7408235478466016 0.38181720274448444 0.7200536151375757 0.3006456779584206 0.36521688854473994 0.4073561476671683 0.40326382242778497 0.5532751684725363 0.4418288840098822 0.5352986830511318 0.7842646944089373 0.6830083008811973 0.6823277124156858 0.7076347519161097 0.5377113053746693 0.45460319577413355 0.2500451179302514 0.2898803211488296 0.4048022531749 0.47550294598463594 0.30690064410979323 0.5430078798506932 0.34606267985272704 0.5873682649626737 0.6249828169125293 0.3557067829339743 0.4851465079655013 0.47375740446614645 0.5069580328656355 0.4930125794356629 0.34968821476271866 0.28876229752311516 0.6726406034613496 0.5131128377100107 0.6765849660147749 0.4367259343282548 0.5734555727253547 0.7022745447946747 0.1904649311801731 0.5439722360487798 0.5662430673792053 0.4528498519828462 0.36649383579087413 0.2790161748164901 0.2572878821518111 0.670529702178258 0.5697818392918046 0.6037896519086506 0.19907858488093702 0.6043418215251196 0.5769225135376385 0.5816337144534403 0.4548717002984013 0.5314356054736549 0.5052540967514103 0.4741847083776915 0.2335331996839927 0.5786890591798949 0.09259569448029682 0.5005762071348858 0.8141251053743516 0.375267129490555 0.5697584944948085 0.4405567760666574 0.4346995662682918 0.5134651758341484 0.5746340607894028 0.4597109847586703 0.1703664058783906 0.5877063013382008
25:4 0.4648529700504469 0.5822505160460788 0.7127907924786276 0.6572537493075078 1.0 0.6601740590371183 0.5509222550318678 0.8386977432482426 0.7038183927440015 0.37500705064437784 0.6322241107461248 0.42977407695202274 0.5341700320728842 0.5739607774300107 0.5009493116325862 0.7074680342156815 0.6375676151309617 0.703292637809841 0.7196102999956769 0.6954629512911206 0.7468970117168054 0.6944183816173896 0.5044913616150589 0.6485684249746231 0.4449160995519086 0.5483576233579005 0.4811157049300487 0.598342241388038 0.5805012425566968 0.6634508922950283 0.6668058499299727 0.6396611929251664 0.8542407479749408 0.49767435498294704 0.570796273696619 0.6900171180549632 0.5408018229657385 0.6331866761739615 0.583631849072249 0.613270064046452 0.809840917499075 0.6334007457225712 0.7159552400506421 0.5374859275193113 0.7154912742217157 0.7299297077321495 0.48858764143797023 0.684736412783852 0.6480429477823055 0.6690480191884871 0.6800694317156816 0.5671651731408082 0.42140666232327406 0.7651307600401438 0.6484453295962216 0.6546034283042903 0.5966966856092712 0.7239494413835833 0.6529950383184202 0.589498939733049 0.641110021031745 0.5845692575423285 0.752689981571371 0.6041166593396972 0.5184108260369498 0.7210470065589043 0.3793049268476583 0.5695441842561 0.5913392890659201 0.4351598138270911 0.7212146362981594 0.656858163590691 0.6413920230227345 0.5660212422729495 0.6242729132089552 0.46453622769791264 0.4923155395128427 0.6273892112243724
25:5 0.4790460626935609 0.8476853867363228 0.5994212294071608 0.46864961548160966 0.6601740590371183 1.0 0.5974034564078835 0.6286730522960597 0.541685037735852 0.6136409809896967 0.5167882709737661 0.5772343185332502 0.7213757074444929 0.8105354810622551 0.810118946507752 0.5326363884517765 0.672246417388205 0.5507495093050202 0.5130231181953372 0.47342259811308157 0.44775089800256157 0.5488452184003536 0.726753560669374 0.9331301697866783 0.6118876652552709 0.7804572023070325 0.7362356697141199 0.8186586824177607 0.6293519000514335 0.6783798184961096 0.8736903207081701 0.588601345586253 0.7130268461875671 0.7281560128999415 0.49882287267639625 0.9517051226237121 0.8922652735452039 0.6147484920847186 0.7587979341641885 0.749901807780413 0.41977163917114524 0.6896021276098417 0.3782766478805096 0.8068204904948484 0.6702422912798521 0.5706448819835835 0.5072588239671842 0.8635479188726891 0.7678764691299349 0.8485930574155167 0.843970396168916 0.8015283944385027 0.6592978475510789 0.7475153364407128 0.7215634265647469 0.83211832281907 0.6576157428428298 0.6323562122026665 0.8322346044098085 0.5546061762997159 0.6347217064819207 0.594212500143119 0.725793308185771 0.7364626229835706 0.5239651482867004 0.6727686639392436 0.27608134617168445 0.8298809915314929 0.47494235812991714 0.680004422341839 0.6227461363832357 0.8625453490059498 0.8362685682678627 0.8133237294100544 0.6502564287908558 0.7548106225511537 0.5156119861269423 0.5601554653608244
25:6 0.5042763610099794 0.5104914772980791 0.6292290375231087 0.5791708432208693 0.5509222550318678 0.5974034564078835 1.0 0.47334708208295 0.7144727594527707 0.7265298253710215 0.6852598880418276 0.6512181180340162 0.5700882629733736 0.7240466259678843 0.6374333148032848 0.7514134675633919 0.774725604477306 0.7093972511989427 0.5046277976058646 0.7326921063741737 0.657505403723441 0.6795611819302918 0.8133028206587565 0.6495506438737662 0.4011896140892566 0.4997814665917179 0.6147858522298444 0.6371996449911841 0.4319349928153567 0.7853501740574689 0.5253906737169026 0.8959942400689979 0.6950792638196726 0.515155921724203 0.7797242045992555 0.6371346468580797 0.7116306289521979 0.7751479254672419 0.4888220726903779 0.39782469765070183 0.6140906101474152 0.8266072834177 0.6760403046346409 0.5800210605859226 0.5435816719611293 0.7814313403657949 0.4012252236628544 0.7740982351410421 0.7543802748013732 0.6954279934376578 0.6445842450674916 0.4540066779298608 0.6300635573985417 0.6380533412370417 0.907049120805021 0.7352430939739295 0.44030956812925115 0.7679913793254136 0.6816934974708325 0.6562774367405151 0.5912058767124043 0.8209813139594867 0.6571856694882459 0.8472949841796774 0.33422349029188847 0.6953346627260554 0.4665910654650953 0.757220326766402 0.5046898598335222 0.790198344966376 0.6158884706209806 0.5974034564078835 0.5601758506948838 0.7382915669726028 0.8478347027977825 0.5825042599890599 0.445893045910165 0.6896104569739094
25:7 0.4497562565440725 0.6054617841710692 0.750608807333247 0.5541048381280496 0.8386977432482426 0.6286730522960597 0.47334708208295 1.0 0.6169624462441862 0.4794577572068351 0.6336596582905707 0.4931184649572339 0.47116801859076707 0.6038038364478556 0.6244358181234719 0.6747842366773248 0.47730373992901426 0.756566777654458 0.662798960522334 0.6379465045332061 0.7171266806038972 0.6449884120267033 0.5588666049871482 0.6220412614032054 0.60242932898376 0.7058708527897519 0.5325120843496706 0.6621988028545093 0.6241069696971059 0.6784759655812568 0.694990961224604 0.5507628426483143 0.6922225880934916 0.7281967254951659 0.48064583397924787 0.5905402546621468 0.5192485025639617 0.7668931206490576 0.7496860990174914 0.7540458753755143 0.8150203477617463 0.5094438911111859 0.6510193357739541 0.5325120843496706 0.7807605336383919 0.657417684054754 0.5482340106359294 0.570796273696619 0.6718129823556559 0.5588666049871482 0.5872243592157196 0.7270293462955231 0.5366029047435833 0.7505491256508133 0.5520304717882809 0.7197569693574996 0.6004245836841436 0.6689354729098842 0.6579471288545349 0.7315325483840552 0.8015577544018602 0.5657879159345428 0.7881595876978821 0.6262809944679594 0.6078803798338885 0.6571904450924331 0.3440792619994512 0.6697113394976235 0.4815486842890373 0.48790645792734455 0.679094000512671 0.5623551433675155 0.6858254592198714 0.6490150347882436 0.5896082794561525 0.5059849207782529 0.5221387241118223 0.5564633388139334
25:8 0.4004053893282316 0.5383864014776066 0.8069251670196662 0.7408235478466016 0.7038183927440015 0.541685037735852 0.7144727594527707 0.6169624462441862 1.0 0.6389948073540912 0.7169441269067724 0.5229161016092785 0.6323975348376003 0.45262185876322636 0.4500894454964584 0.6076686496551548 0.6867065286223428 0.6361001971678744 0.6584333388098194 0.7622059754251086 0.5926693180921754 0.6402301965798264 0.6682012951185196 0.5169452657990116 0.4073004574345108 0.46810684189270446 0.6356961710958458 0.7178194430720932 0.3987005088323768 0.6630142604217932 0.5152959476698888 0.6804522730832523 0.6614716893714366 0.5428797328279842 0.8162196573760409 0.5103479932825208 0.5317891289611159 0.7081654751652909 0.4573696462610526 0.40847816398736936 0.6589182848076564 0.7365030280665137 0.7713440527155369 0.683526396840404 0.7015433228638178 0.7244282783541273 0.42824418754800925 0.7028725750765569 0.6815633742949607 0.6468491026141082 0.5911645816095329 0.3792359722999599 0.5125422766890767 0.6179544777962505 0.6924237893705674 0.7505473512457669 0.2984468828855993 0.771239030414 0.7101360011556858 0.7257126286659763 0.5771254968040349 0.7626600470587023 0.6328986168424172 0.6703748192883641 0.42453569312908324 0.7639056193916637 0.3753751637792896 0.6343660967636818 0.6097157206659218 0.519558800127912 0.740211874429521 0.5070493570242753 0.4785545787892699 0.6311908281108732 0.7170328421220676 0.6950716237442628 0.4059932210344533 0.6924237893705674
25:9 0.512873515447207 0.7213757074444929 0.5980089053383151 0.38181720274448444 0.37500705064437784 0.6136409809896967 0.7265298253710215 0.4794577572068351 0.6389948073540912 1.0 0.5666464211652101 0.7769972303330176 0.8142504716296619 0.780815556523001 0.6768938709541719 0.48603222152497155 0.697896837755814 0.6850432748853225 0.4458380113897445 0.4625314959278777 0.4501766022792081 0.5019357187084585 0.7844670064964943 0.6916557829052388 0.6434944534524762 0.5592096849265955 0.780815556523001 0.720463477672605 0.49907447916264314 0.6222682729274492 0.6656508489333913 0.6391017365980474 0.4661618633229456 0.7194011782530138 0.7906029096334305 0.6322159338267305 0.7622406036859672 0.6835451194528592 0.6274754144602728 0.5119393084997331 0.32858451439439684 0.7344913640647701 0.5221261476345512 0.7696705848207808 0.5363515408789212 0.5938561501085741 0.4989056618074261 0.6727686639392436 0.5392941265841772 0.6113266690151337 0.687940792337832 0.5381384927951254 0.7330470200112246 0.5442147623169068 0.6147858522298444 0.6861277182560592 0.39031455373057106 0.6323562122026665 0.5925560316433829 0.6764270485901788 0.47271674526017016 0.6587407775470785 0.43768800034076827 0.748878619999257 0.4654930131683938 0.5156563363469944 0.6369075088772427 0.717657900394172 0.484358993650374 0.8419688633100019 0.6790113731692614 0.6322159338267305 0.682776030992484 0.6401833919286938 0.7656572230858013 0.8068204904948484 0.5072588239671842 0.5775378611827853
