 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1
1:1 1.0 0.7283934898716588 0.7283934898716588 0.2743575634591816 0.2788298084201067 0.26584928505779687 0.7283934898716588 0.44378194466777476 0.6664494380075616 0.8830216117374959 0.3474569926069096 0.7308994498230955 0.2568796810148242 0.3367591278754009
2:1 0.7283934898716588 1.0 1.0 0.3225117721331087 0.28734651635137654 0.005918943303048952 1.0 0.40749604926681204 0.30316112392928135 0.39663549397354186 0.1357421409950234 0.25904919796103953 0.12146138334140433 0.02966842327052375
3:1 0.7283934898716588 1.0 1.0 0.3225117721331087 0.28734651635137654 0.005918943303048952 1.0 0.40749604926681204 0.30316112392928135 0.39663549397354186 0.1357421409950234 0.25904919796103953 0.12146138334140433 0.02966842327052375
4:1 0.2743575634591816 0.3225117721331087 0.3225117721331087 1.0 0.759248495030293 0.5601843381270365 0.3225117721331087 0.751002802691147 0.38197346663874193 0.18446110628154394 0.4527322764918033 0.12568005346069858 0.5534803231099431 0.49852826787894583
5:1 0.2788298084201067 0.28734651635137654 0.28734651635137654 0.759248495030293 1.0 0.4475654266888151 0.28734651635137654 0.6453157472013245 0.36697020830605237 0.24948364730708822 0.29707480286845156 0.2309133736396856 0.5588101014304467 0.5384406426030948
6:1 0.26584928505779687 0.005918943303048952 0.005918943303048952 0.5601843381270365 0.4475654266888151 1.0 0.005918943303048952 0.5572060021035493 0.602738882048501 0.3718571501907367 0.7247311510629463 0.3673604364236687 0.6962863429572382 0.861897649398858
7:1 0.7283934898716588 1.0 1.0 0.3225117721331087 0.28734651635137654 0.005918943303048952 1.0 0.40749604926681204 0.30316112392928135 0.39663549397354186 0.1357421409950234 0.25904919796103953 0.12146138334140433 0.02966842327052375
8:1 0.44378194466777476 0.40749604926681204 0.40749604926681204 0.751002802691147 0.6453157472013245 0.5572060021035493 0.40749604926681204 1.0 0.5185940401848189 0.36072144953472096 0.5802272238139543 0.2786638033686515 0.6246609527784615 0.5571149468332796
9:1 0.6664494380075616 0.30316112392928135 0.30316112392928135 0.38197346663874193 0.36697020830605237 0.602738882048501 0.30316112392928135 0.5185940401848189 1.0 0.7716178940357534 0.7681098729950548 0.7272521180782578 0.5739953131176625 0.6328485103872414
10:1 0.8830216117374959 0.39663549397354186 0.39663549397354186 0.18446110628154394 0.24948364730708822 0.3718571501907367 0.39663549397354186 0.36072144953472096 0.7716178940357534 1.0 0.40772402597234336 0.9436537050623625 0.3629933734132412 0.5028062060014323
11:1 0.3474569926069096 0.1357421409950234 0.1357421409950234 0.4527322764918033 0.29707480286845156 0.7247311510629463 0.1357421409950234 0.5802272238139543 0.7681098729950548 0.40772402597234336 1.0 0.4365615313319013 0.6195055745888467 0.6485308180254464
12:1 0.7308994498230955 0.25904919796103953 0.25904919796103953 0.12568005346069858 0.2309133736396856 0.3673604364236687 0.25904919796103953 0.2786638033686515 0.7272521180782578 0.9436537050623625 0.4365615313319013 1.0 0.432377911409307 0.5751424844046356
13:1 0.2568796810148242 0.12146138334140433 0.12146138334140433 0.5534803231099431 0.5588101014304467 0.6962863429572382 0.12146138334140433 0.6246609527784615 0.5739953131176625 0.3629933734132412 0.6195055745888467 0.432377911409307 1.0 0.7824039614367186
14:1 0.3367591278754009 0.02966842327052375 0.02966842327052375 0.49852826787894583 0.5384406426030948 0.861897649398858 0.02966842327052375 0.5571149468332796 0.6328485103872414 0.5028062060014323 0.6485308180254464 0.5751424844046356 0.7824039614367186 1.0
