 1:1 2:0 3:0 4:0 5:0 6:0 7:0 8:0 10:0 11:0 12:0 13:0 14:0
1:1 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
2:0 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
3:0 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
4:0 0.5550802139037433 0.5550802139037433 0.5550802139037433 1.0 0.5550802139037433 0.5550802139037433 0.5550802139037433 0.5550802139037433 0.5550802139037433 0.5550802139037433 0.5550802139037433 0.5550802139037433 0.5550802139037433
5:0 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
6:0 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
7:0 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
8:0 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
10:0 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
11:0 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
12:0 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
13:0 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
14:0 1.0 1.0 1.0 0.5550802139037433 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
