 1:2 2:286 3:2 4:4 5:15 6:16 9:21 29:22 114:1 12:2
1:2 1.0 0.2738673641939196 0.4446921572347909 0.6361224241465016 0.303693565307258 0.5467009682008531 0.5323618954559258 0.24369638590789416 0.6136669496485342 0.5409232574259762
2:286 0.2738673641939196 1.0 0.2990970913589057 0.42423091421382353 0.4250080612317738 0.33425651820252356 0.31493255649144225 0.3223544320462646 0.35944940617865917 0.267491081894636
3:2 0.4446921572347909 0.2990970913589057 1.0 0.5530668796306433 0.46650301526726173 0.5170673006636551 0.7682141308814696 0.46405561557144975 0.49734458661952674 0.5856560386929851
4:4 0.6361224241465016 0.42423091421382353 0.5530668796306433 1.0 0.6281222887022029 0.5541362127607344 0.5901006586969131 0.6168253331891544 0.5737272922993237 0.40596857426643573
5:15 0.303693565307258 0.4250080612317738 0.46650301526726173 0.6281222887022029 1.0 0.43959217519542915 0.47863832486324226 0.5804667324522363 0.3648823337508263 0.2573751297993154
6:16 0.5467009682008531 0.33425651820252356 0.5170673006636551 0.5541362127607344 0.43959217519542915 1.0 0.6882779301179606 0.5514230164570616 0.776307603458044 0.40788028454048997
9:21 0.5323618954559258 0.31493255649144225 0.7682141308814696 0.5901006586969131 0.47863832486324226 0.6882779301179606 1.0 0.6910685307212197 0.5309304649631236 0.6745006237989976
29:22 0.24369638590789416 0.3223544320462646 0.46405561557144975 0.6168253331891544 0.5804667324522363 0.5514230164570616 0.6910685307212197 1.0 0.4534220319951496 0.4512041773233219
114:1 0.6136669496485342 0.35944940617865917 0.49734458661952674 0.5737272922993237 0.3648823337508263 0.776307603458044 0.5309304649631236 0.4534220319951496 1.0 0.6454507546231716
12:2 0.5409232574259762 0.267491081894636 0.5856560386929851 0.40596857426643573 0.2573751297993154 0.40788028454048997 0.6745006237989976 0.4512041773233219 0.6454507546231716 1.0
